sam_address_id,full_address,mailing_neighborhood,state,zip_code,x_coord,y_coord,recollect,trashday,pwd_district
219464,114 Cottage St #B,East Boston,MA,2128,-71.03462037,42.36856948890641,W,W,9
103557,225-227 North St,Boston,MA,2109,-71.05260386,42.36337394859878,MTH,MTH,1
296634,11 Queensberry St #28,Boston,MA,2215,-71.09553656,42.34341157037202,TF,TF,10
316756,18 Sutherland Rd #6,Brighton,MA,2135,-71.1504017,42.33709364392707,T,T,4
29243,15 Charles St,Hyde Park,MA,2136,-71.13226085,42.25111963450141,W,W,8
387385,721 River St,Mattapan,MA,2126,-71.10250264,42.26374838861612,F,F,8
384708,748 Dudley St,Dorchester,MA,2125,-71.06653056,42.31793953435976,TH,TH,3
274022,38 Melville Ave # 1,Dorchester,MA,2124,-71.06717061,42.29477953730272,T,T,7
275713,161 Milton Ave #2,Dorchester,MA,2124,-71.07533866,42.27914255014774,W,W,7
207146,92 Chestnut St #1,Boston,MA,2108,-71.07064448,42.356706536268725,MF,MF,1
72608,128 Hemenway St,Boston,MA,2115,-71.09007055,42.34245956357369,TF,TF,10
420185,1 Franklin St #2004,Boston,MA,2110,-71.05952603,42.35577608942076,MF,MF,1
322213,715 Tremont St #208,Roxbury,MA,2118,-71.07789053,42.34087954733582,TF,TF,1
335398,91 Westland Ave #501,Boston,MA,2115,-71.08957055,42.34414956238185,TF,TF,10
95356,24 Milford St # 2,Roxbury,MA,2118,-71.07006051,42.34408953669207,TF,TF,1
438037,15 North Sq,Boston,MA,2113,-71.05368042,42.36379951,MTH,MTH,1
65528,13 Gordon St # 1,Jamaica Plain,MA,2130,-71.10825067,42.31052959,T,T,2
106001,39 Ormond St,Mattapan,MA,2126,-71.0933407,42.28117957545456,M,M,7
289860,344 Park St #1,Dorchester,MA,2124,-71.06809061,42.29639953839413,T,T,7
182572,22 Battery St #5,Boston,MA,2109,-71.05214042,42.36641951160293,MTH,MTH,1
14236,63-65 Belnel Rd,Mattapan,MA,2126,-71.10437077,42.26099959329318,TH,TH,8
200781,237 Cambridge St #3,Allston,MA,2134,-71.1270506,42.357979609392345,F,F,4
71523,2 Hawthorne Pl #2-D,Boston,MA,2114,-71.06615045,42.36392153021397,MF,MF,1
336366,65 Whitfield St # 1,Dorchester,MA,2124,-71.07432063,42.29179954744231,T,T,7
71666,2 Hawthorne Pl #11-C,Boston,MA,2114,-71.06615045,42.36392153021397,MF,MF,1
216221,1960 Commonwealth Ave #67,Brighton,MA,2135,-71.15645071,42.338879651526845,TH,TH,4
143639,578 Washington St #578-1,Brighton,MA,2135,-71.16534271,42.35004366096958,TH,TH,4
8919,2 Bay State Pl,South Boston,MA,2127,-71.03794045,42.33788949487016,TH5,TH,5
1122,125 Addison St,East Boston,MA,2128,-71.01672157,42.38534194118598,TH,TH,9
130002,216 W Springfield St #3,Roxbury,MA,2118,-71.08068054,42.34053955,TF,TF,1
4146,85 Appleton St #1,Boston,MA,2116,-71.07346051,42.34564954098276,TF,TF,1
297268,40 Quint Ave #7,Allston,MA,2134,-71.13378763,42.35176061930713,W,W,4
305310,67 Salem St # 8,Boston,MA,2113,-71.05587043,42.363299516637205,MTH,MTH,1
432112,860 Harrison Ave #268,Roxbury,MA,2118,-71.07532603,42.33450135350768,TF,TF,10
144505,2451 Washington St,Roxbury,MA,2119,-71.08644018,42.32851731370298,MTH,MTH,10
